Vendor,Posts/Week,Avg Views/Post,Avg Price (ETB),Top Product,Top Price,Top Views,Lending Score
@kuruwear,3.1780821917808217,5485.2155172413795,351028.5,ጫ,2,13161,72949.26118327823
@Leyueqa,14.253968253968255,42419.268374164814,707.5477166276347,የንዕ,nan,201645,21355.419920884124
@MerttEka,14.943661971830986,25443.007775683316,17561.681177446102,nan,nan,216507,16238.323221922426
@qnashcom,15.0995670995671,24789.553325688074,422.35056713268267,nan,011,236772,12483.776646400443
@gebeyaadama,9.524017467248909,4019.648784961027,23181.89353400223,ቻ,nan,17190,6649.060304521134
@Shewabrand,7.394636015325671,12861.886010362694,133.4374331550802,nan,nan,114819,6459.848882616961
